name,country,latitude,longitude,phone
"Gurdev Hospital, Ludhiana",India,30.8884203,75.79153,0161 469 5900
"ਕਮਿਊਨਿਟੀ ਹੈਲਥ ਸੈਂਟਰ, ਸਾਹਨੇਵਾਲ",India,30.8406998,75.9795755,1612847131
Nampalli,India,16.8862748,78.9608692,0
SREC Health Center,India,11.1005451,76.9637445,0
Kalaignar Karunanidhi Nagar,India,13.0386493,80.2052158,0
Kasimedu,India,13.122775,80.2960584,0
"Paras Hospital, Gurgaon",India,28.4509689,77.0875533,0
Amrit Hospital,India,13.0922007,80.2792912,0
Vikram Hospital,India,13.0985007,80.2796178,0
City Tower Hospitals,India,13.08438,80.2160862,0
Max Hospital,India,28.462841,77.0759312,0
Swamy Hospital,India,12.8550625,77.6642727,0
Clinic,India,12.9134182,77.6774852,0
Government Hospital,India,11.4085627,76.7002627,0
Sri Ramakrishna Dental Hospital,India,11.0212988,76.9883526,0
"Apollo Hospitals, Tondiarpet",India,13.1289367,80.2905623,0
Mata Anandmayee Hosiptal,India,25.2929029,83.0055074,0
Punjabi Hospital,India,25.3460988,83.0372616,0
K.H.M.Hospital,India,13.0844424,80.2130723,0
Sundaram Medical Foundation,India,13.08217,80.2069819,0
Sri Devi Speciality Hospial,India,13.0887983,80.1994692,0
Govt. Medical College,IN,21.1295149,79.0974689,0
Indira Gandhi Medical College & Hospital,India,21.1541868,79.0936492,0
Prakash Hospital Pvt Ltd,India,28.5854878,77.3494026,0
Corporation Hospital,India,13.0336624,80.2572467,0
Shanti Hospital,India,12.9235041,77.5857517,0
Apollo Hospital,India,12.9263714,77.6765455,+91-80-40222555
Aravind Ayurvedic Hospital,India,9.363999,76.5925769,0
Highland Hospital,India,12.8663995,74.854664,0
Sumitra Hospital,India,28.5818659,77.3529095,0
"Hindu Mission Health Services, Kanchipuram",India,12.9787682,80.1846471,0
Narayana Hrudayalaya Dental Clinic,India,12.9155759,77.6349897,0
Parvathy Nursing Home,India,11.4156645,76.7088458,0
Military Hospital,India,13.0194622,80.1972947,0
Dr Ganesh Medical and Diabetic Clinic,India,12.9129006,77.6419101,0
Goverment dental hospital & collage,India,13.0829605,80.281264,0
Kilpauk Medical College,India,13.0785984,80.2433369,0
Hariharan Hospital,India,12.9847145,80.1905906,0
BM Hospital,India,12.9887616,80.1904116,044-22670277
K.F. Hospital,India,12.973463,80.1841397,0
Aparna hospital,India,29.6067647,76.9789582,0
Cancer Institute,India,13.0061338,80.239884,0
Sri Ramachandra Medical Centre and Hospital,India,13.0380979,80.1428047,0
Govt Maternity Hospital,India,13.0720996,80.2589871,0
Institute of Child Health,India,13.0735496,80.257025,0
Institute of Obstetrics and Gynaecology dd,India,13.0735431,80.2591463,0
Ellen Multispeciality Hospital,India,11.0213634,76.9708723,0
GP Hospital,India,11.0201233,76.9710726,0
S. Waryam Singh Hospital,India,31.6333898,74.8765817,0
Metro Hospital And Research Institute,India,22.33499,73.2089837,0
Mental Hospital,India,22.3176736,73.1989415,0
Saravana Dental Care Hospital,India,11.0028292,76.9513725,0
Senthil Hospital,India,11.0089752,76.9578034,0
Dr. S. G. Rajarathinam Hospital,India,11.0095256,76.9619316,+914222236730
"K. G. Hospital, Coimbatore",India,11.0004227,76.9715023,0
Bel Air Hospital,India,17.9214501,73.79792,0
Saint Anne's Hospital,India,19.2733799,72.883476,0
Sengaliappan Nursing Home,India,11.0165542,76.955239,0
Thrikkakara Municipal Co-operative Hospital,India,10.01816,76.34672,+91 9400904730;0484 2955310
vengola govt homoeo dispensary,India,10.0971798,76.4511132,0
"Sunrise Hospital, Ernakulam",India,10.0252315,76.3388796,0
National Centre for Training and Research into Cerebral Palsy,India,19.0516428,72.8321317,0
Vikram Hospitals,India,17.4406857,78.3916647,0
Image Hospitals,India,17.4444337,78.3860746,0
DAE Hospital,India,12.5037319,80.159635,0
Maheswan Hospital,India,26.9170423,70.9053368,0
Mahatma Gandhi Hospital,India,26.2831291,73.0185635,0
JBS Hospital,India,12.9207173,77.5745968,0
Jayanagar heart Centre,India,12.9231684,77.584433,0
MIOT International,India,13.0211808,80.1858412,044 4200 2288
St. Thomas Hospital,India,13.0122733,80.196428,0
Govt Primary Health Centre,India,12.5274531,80.1631378,0
Venkataeswara Hospitals,India,13.0293624,80.2440921,0
Government Hospital,India,12.7289287,77.8253132,0
Ayurvedic Hospital,India,13.6800047,79.350315,0
Amarjit Nursing Home,India,30.9002751,75.8250965,0
Pushpanjali Hospital,India,28.4508125,77.0328448,0
Jivraj Mehta Hospital,India,23.0085819,72.5432503,0
Sterling Hospital Div. Of Addlife Medical Institute Pvt. Ltd.,India,23.0487566,72.5312683,9825181745
PGI Emergency,India,30.7611013,76.7762212,0
Sarswathi Hospital,India,12.9653846,80.2067733,0
Sri Vijayalakshmi Pragathi Hospital,India,13.0371728,77.6409543,0
gracian hospital,India,30.8893778,75.8195586,0
Sathya Hospital,India,13.0185503,77.6364728,0
Jasmine Hospital And Wow Clinic,India,19.1486707,72.9998192,0
Ramakrishna Hospital,India,12.8500655,77.6624706,+918040800300
Apollo Clinic & Pharmacy,India,13.05244,80.2041657,0
Vijaya Heart Centre,India,13.0483819,80.2070144,0
ESI Hospital,India,12.3383212,76.6323943,0
Adithya Adhikari Hospital,India,12.3315512,76.6271812,0
S.K.,India,30.8798617,75.8591291,0
Astha Hospital,India,28.3509265,77.0649209,0
Gobind Hospital,India,28.3905221,77.0491169,0
Sai Heart and Trauma Center,India,28.3978752,77.0455899,0
Ameerpet Government Hospital,India,17.4417142,78.4478775,0
Sri Vijaya Hospitals,India,17.4422795,78.4480341,0
PAMC Hospital (Pandian Advanced Medical Centre),India,9.9267975,78.1420027,0
Aravind Eye Hospitals,India,9.9212003,78.1398805,0
Government Vetinary Hospital,India,9.9317265,78.1401058,0
Chord Road Hospital Pvt Ltd,India,12.9981215,77.5404836,+91-80-23225858;+91-80-23225868;+91-80-23225878
Government Hospital,India,10.2512627,78.8135488,0
Pristline Hospital,India,12.9978931,77.5436127,+91-80-41354444;+91-80-51270776
Sree Priya Multi Speciality Hospital,India,17.4415414,78.4461255,0
B.M.Orthopaedic Hospital,India,13.1181104,80.1499411,0
Ashoka Clinic,India,12.2922036,76.6423443,0
MES Hospital,India,11.0611294,76.3442394,0
Dhanvantari Hospitals Pvt.Ltd.,India,19.1645468,73.2393372,0
"Bengaluru Hospital, Susruta Medical Aid AndResearch Home Limited",India,12.9376734,77.5802836,0
Mahindroo Nursing Home,India,31.5394004,76.8964948,0
Landour Community hospital,India,30.4589803,78.0951087,0
skandan nursing home,India,12.9447938,80.1405596,0
"Vasan Eye Care Hospital, Vadapalani",India,13.0495316,80.211027,0
Eye,India,30.3351251,76.4078909,0
Gian Sagar Hospital,India,30.5285796,76.6716594,01762 520 000
JJ Hospital,India,13.0571293,80.1942138,0
Regional Institute of Ophthalmology,India,8.4998439,76.9410501,0
Dr Govindans Hospital,India,8.4986554,76.9431315,0
govt. hospital uggi,India,31.2133989,75.4265073,0
Thottabhagam Hospital,India,9.3852283,76.6153372,0
Manipal Northside Hospital,India,13.0011275,77.5639285,080 2222 1111
Rahmat Ali hospital,India,17.3672265,78.4859878,0
"Aurvedic Hospital, Maholi",India,31.3548222,77.3876512,0
Saritha Clinic,India,17.2557178,80.1457999,0
Janata Hospital,India,17.2481922,80.1464407,0
Praja vaidyasala (YRK),India,17.2411982,80.1384703,0
Base Hospital Delhi Cantt,India,28.6082403,77.1366732,0
Satya Hospital,India,17.407574,78.512174,0
Syamala Hospital,India,17.2480311,80.1513428,0
Ramanathan Hospital,India,10.7729537,79.1331354,0
Silent Valley Hospital,India,10.0794143,77.1674719,0
"S.B. Hospital Urology, Nephrology & Fertility Research Centre",India,10.7755458,79.1254,0
Government Hospital,India,12.5246186,76.8998873,0
Nakrekal,India,17.1611289,79.4348558,0
Government Primary Health Centre,India,12.9503234,77.6162619,0
Innova Children's Heart Hospital,India,17.4293162,78.533452,040 2700 7272 ; 9000991535
Apollo Clinic,India,17.4290954,78.5333362,0
AVM Medical Centre,India,10.7876968,79.1384135,0
Divakars speciality Hospital,India,12.9100629,77.5924585,0
Shashi,India,17.2474829,80.1508547,0
eye hospital,India,17.2491831,80.1513059,0
District Govt Hospital,India,17.2498453,80.1521517,87422224175
KRA Hospital,India,10.7869754,79.1397985,0
Hema Poly Clinic,India,12.960765,77.7137961,0
Adichunchanagiri Hospital,India,12.9661122,76.7228216,0
Sardar Patel Cantonment General Hospital,India,18.5027163,73.87712,0
TMA Pai Hospital,India,13.3326012,74.7471694,0
Vishnu Clinic,India,17.2530296,80.1403907,0
Praja Vaidyasala,India,17.2574018,80.149205,0
Kanakadurga clinic,India,17.2617203,80.1435632,0
Dr. Babasaheb Ambedkar Cantonment General Hospital,India,18.569025,73.8486994,0
Alphonsa Eye Hospital,India,9.7088081,76.6765231,0
Command Hospital Southern Command,IN,18.5005828,73.8894328,0
Neomed Hospital,India,9.9291508,78.148482,0
General Hospital,India,9.711455,76.6809641,0
BMTC Hospital,India,12.9234317,77.5923374,0
District Hospital,India,16.8254015,75.69243,0
Borivali West,India,19.2298129,72.8471376,0
RamaKrishna Nursing Home,India,17.2515488,80.1393924,0
KMCH Hospital,India,11.2788797,77.5848796,0
Vasavi ENT Hospital,India,17.40681,78.4645023,0
Mahavir Hospital and Research Centre,India,17.4036641,78.4570626,0
Old Apollo Hospital,India,17.3985586,78.4814113,0
